date,game_id,name,adj_bayesaverage,avg_vote_rank,votes_1000,votes_2000,votes_5000,votes_10000,votes_25000,votes_50000,votes_100000
2022-04-08,521,Crokinole,8.21910823631744,116.6,74,76,88,111,143,158,166
2022-04-08,161936,Pandemic Legacy: Season 1,8.05733970359415,4,3,2,2,3,3,5,10
2022-04-08,254640,Just One,8.03964306428257,155.6,190,161,140,145,148,153,152
2022-04-08,178900,Codenames,7.99332656688491,59,162,104,57,39,20,17,14
2022-04-08,173346,7 Wonders Duel,7.95287453276281,10.1,26,17,11,6,5,4,2
2022-04-08,318977,MicroMacro: Crime City,7.91685986325485,293.3,229,225,266,301,335,345,352
2022-04-08,230802,Azul,7.90373260967713,34.3,84,56,36,24,13,14,13
2022-04-08,160069,Ticket to Ride: 10th Anniversary,7.88899641815905,283.1,67,111,236,332,395,417,424
2022-04-08,284083,The Crew: The Quest for Planet Nine,7.88008681288886,51,62,46,40,47,50,55,57
2022-04-08,165722,KLASK,7.8717294839615,348.1,274,273,334,360,392,399,405
2022-04-08,266507,Clank!: Legacy – Acquisitions Incorporated,7.85304703334318,199,19,40,129,221,302,331,351
2022-04-08,156546,Monikers,7.82831567569307,488.6,288,352,477,535,573,591,604
2022-04-08,244521,The Quacks of Quedlinburg,7.82314034233534,53.7,80,60,45,46,46,48,51
2022-04-08,163412,Patchwork,7.82275291041666,61.4,144,98,59,45,33,27,24
2022-04-08,266192,Wingspan,7.8119480719705,13,28,19,14,8,6,8,8
2022-04-08,92828,Dixit: Odyssey,7.80280467877172,199.1,307,232,189,168,169,164,165
2022-04-08,46213,Telestrations,7.7915875768665,254,356,286,240,230,218,224,224
2022-04-08,224037,Codenames: Duet,7.78361506494612,180.1,254,203,163,158,161,161,161
2022-04-08,225694,Decrypto,7.77697458737157,132.6,119,107,115,129,146,154,158
2022-04-08,192291,Sushi Go Party!,7.7733382800707,150.3,284,205,141,117,105,100,100
2022-04-08,54043,Jaipur,7.76360288793334,99.4,228,152,95,68,56,50,47
2022-04-08,204583,Kingdomino,7.75634547794555,145.9,338,230,143,104,78,66,62
2022-04-08,129622,Love Letter,7.68292733982506,157.7,432,278,152,100,64,43,35
2022-04-08,39856,Dixit,7.6722382201326,160.6,430,279,154,103,67,51,40
2022-04-08,167791,Terraforming Mars,7.66604072097337,2.7,6,5,3,2,1,1,1
2022-04-08,263918,Cartographers,7.66422319402708,121.4,143,117,107,108,119,126,130
2022-04-08,316554,Dune: Imperium,7.65203527817776,46.6,18,16,27,38,65,75,87
2022-04-08,262543,Wavelength,7.6424282443791,448,464,428,430,443,454,458,459
2022-04-08,188834,Secret Hitler,7.64236578078753,144.9,230,173,136,120,118,120,117
2022-04-08,209010,Mechs vs. Minions,7.6388663005332,92.1,61,55,68,82,115,129,135
2022-04-08,201808,Clank!: A Deck-Building Adventure,7.63629369942385,56.6,86,67,49,50,47,47,50
2022-04-08,128882,The Resistance: Avalon,7.63494108076611,109.4,202,144,105,79,79,79,78
2022-04-08,232832,Century: Golem Edition,7.63335868001081,275.1,227,218,249,278,307,322,325
2022-04-08,260605,Camel Up (Second Edition),7.63266583815235,385.7,295,312,365,403,431,447,447
2022-04-08,156129,Deception: Murder in Hong Kong,7.62396965903896,183.1,279,213,167,157,156,157,153
2022-04-08,291457,Gloomhaven: Jaws of the Lion,7.61634150861548,28.6,4,4,8,18,42,59,65
2022-04-08,233867,Welcome To...,7.6137926778758,125.9,189,147,120,105,106,106,108
2022-04-08,174430,Gloomhaven,7.60310823526857,1.9,1,1,1,1,2,2,5
2022-04-08,92415,Skull,7.6024084349518,305.1,542,392,295,255,223,214,215
2022-04-08,277085,Love Letter,7.60135302927558,611.7,456,515,595,645,682,691,698
2022-04-08,294484,Unmatched: Cobble & Fog,7.59947079142632,495.9,154,282,482,562,638,671,682
2022-04-08,182631,Star Realms: Colony Wars,7.59762982287578,300.6,168,199,269,328,367,385,388
2022-04-08,172,For Sale,7.5973064138078,225.3,478,328,214,169,139,127,122
2022-04-08,253344,Cthulhu: Death May Die,7.59690263621866,245.6,77,109,199,275,334,355,370
2022-04-08,274960,Point Salad,7.59546322689647,346.9,511,403,338,304,292,290,290
2022-04-08,150,PitchCar,7.58439062991625,403.7,543,444,388,370,361,358,362
2022-04-08,244522,That's Pretty Clever!,7.58174960231733,146.6,188,153,134,137,136,138,140
2022-04-08,274637,"Unmatched: Battle of Legends, Volume One",7.5797552151263,377.6,179,237,355,424,471,485,492
2022-04-08,199478,Flamme Rouge,7.57913713512466,209.7,264,215,195,192,197,201,204
2022-04-08,198773,Codenames: Pictures,7.57503988795752,270.3,493,359,260,224,192,184,180
2022-04-08,147020,Star Realms,7.5718604654449,85.4,176,126,78,64,54,52,48
2022-04-08,36553,Time's Up! Title Recall!,7.56815417463832,679.3,441,543,675,721,776,794,805
2022-04-08,285774,Marvel Champions: The Card Game,7.5665206358147,71.6,31,32,44,67,96,112,119
2022-04-08,199792,Everdell,7.56575263325517,31.3,35,27,25,27,32,34,39
2022-04-08,14996,Ticket to Ride: Europe,7.56434449384517,71,182,124,69,51,30,21,20
2022-04-08,205059,Mansions of Madness: Second Edition,7.56331227747039,41.3,47,37,34,34,40,45,52
2022-04-08,282524,Horrified,7.56153726823583,208.4,156,155,179,208,240,257,264
2022-04-08,217372,The Quest for El Dorado,7.56045409206518,158.4,184,159,142,147,154,159,164
2022-04-08,239188,Chronicles of Crime,7.55920493494385,127.3,145,120,117,116,129,130,134
2022-04-08,271320,The Castles of Burgundy,7.55587189032469,219.6,32,63,155,251,323,349,364
2022-04-08,287954,Azul: Summer Pavilion,7.5540693107635,205.1,160,157,176,202,235,249,257
2022-04-08,266524,PARKS,7.55187747033907,144.1,127,114,125,143,160,168,172
2022-04-08,158600,Hanamikoji,7.5518246217711,222,276,221,203,204,209,218,223
2022-04-08,281259,The Isle of Cats,7.54560564812236,141.6,96,95,122,144,170,180,184
2022-04-08,148228,Splendor,7.54199608838749,94.6,256,169,90,61,36,28,22
2022-04-08,193042,Junk Art,7.53606294855843,506.6,507,484,488,503,515,523,526
2022-04-08,194655,Santorini,7.53433322264535,137,287,200,132,102,83,80,75
2022-04-08,312484,Lost Ruins of Arnak,7.5268931303683,53.7,38,31,37,49,66,72,83
2022-04-08,68448,7 Wonders,7.52528787834992,35.4,99,68,38,20,11,6,6
2022-04-08,314040,Pandemic Legacy: Season 0,7.52506747056199,292.1,37,86,234,346,426,453,463
2022-04-08,256952,Zombie Kidz Evolution,7.51645017685268,661.3,400,517,658,710,766,785,793
2022-04-08,84876,The Castles of Burgundy,7.51455588202758,14.6,25,18,15,10,8,11,15
2022-04-08,198994,Hero Realms,7.50377138807006,197.1,243,198,180,183,188,192,196
2022-04-08,230253,Star Realms: Frontiers,7.50288994525876,523.4,242,342,506,580,644,670,680
2022-04-08,223040,Fantasy Realms,7.50131555386449,313.4,294,271,292,313,333,343,348
2022-04-08,199561,Sagrada,7.50096640030516,115.9,232,165,111,83,76,74,70
2022-04-08,230914,Carcassonne Big Box 6,7.49715004372654,559.4,210,346,542,642,707,729,740
2022-04-08,31627,Ticket to Ride: Nordic Countries,7.49628542616822,206.4,211,185,187,195,213,225,229
2022-04-08,274364,Watergate,7.49549130767213,254.4,133,162,216,274,319,333,344
2022-04-08,209418,Dominion (Second Edition),7.49230735217677,317.4,161,201,287,349,397,410,417
2022-04-08,153016,Telestrations: 12 Player Party Pack,7.49214972925577,872,557,700,864,954,998,1011,1020
2022-04-08,9209,Ticket to Ride,7.49043814468389,96.6,275,175,93,60,34,20,19
2022-04-08,12942,No Thanks!,7.49037903068051,329.4,680,487,330,254,200,181,174
2022-04-08,269385,The Lord of the Rings: Journeys in Middle-Earth,7.49029963631648,134.6,72,81,104,140,171,183,191
2022-04-08,133473,Sushi Go!,7.48734499077667,271.3,677,454,267,182,124,101,94
2022-04-08,279537,The Search for Planet X,7.48720762085751,377.3,125,204,351,435,493,508,525
2022-04-08,183394,Viticulture Essential Edition,7.48651616587129,28.7,40,29,26,22,23,31,30
2022-04-08,224517,Brass: Birmingham,7.4846260689109,12.1,2,3,4,5,15,24,32
2022-04-08,124361,Concordia,7.48205201322721,27.6,30,24,22,19,29,33,36
2022-04-08,196326,Love Letter Premium,7.47377975893247,577.3,517,527,558,583,607,621,628
